"Name","Total Population by Race/Ethnicity"
"Description","Total population by racial/ethnic group."
"Source Notes","<span style=""color: #333333;"">U.S. Census Bureau, American Community Survey 5-Year Estimates, Table B03002 (2009-2018); retrieved <a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>.</span>
<div><span style=""color: #333333;""><br />
</span></div>"
"Notes","Percents refer to the percent of the total population. Racial/ethnic groups are defined as follows: White = non-Latino White alone, Black = non-Latino Black alone, Asian = non-Latino Asian or Pacific Islander alone, Other = other non-Latino of any race, Latino = Latino of any race.&nbsp;"

Location,Race/Ethnicity,TimeFrame,DataFormat,Data,Fips
St. George,Other,2014,Percent,0.02685,501
Williamsburg/Greenpoint,Other,2014,Percent,0.02072,301
Bushwick,Other,2014,Percent,0.01101,304
Bedford Stuyvesant,Other,2014,Percent,0.01786,303
Fort Greene/Brooklyn Hts,Other,2014,Percent,0.03697,302
Park Slope,Other,2014,Percent,0.04001,306
Crown Heights North,Other,2014,Percent,0.02738,308
Brownsville,Other,2014,Percent,0.01007,316
East New York,Other,2014,Percent,0.0172,305
Canarsie,Other,2014,Percent,0.01676,318
East Flatbush,Other,2014,Percent,0.01693,317
Crown Heights South,Other,2014,Percent,0.02024,309
Sunset Park,Other,2014,Percent,0.01781,307
Bay Ridge,Other,2014,Percent,0.02079,310
Borough Park,Other,2014,Percent,0.01412,312
Flatbush/Midwood,Other,2014,Percent,0.02312,314
Sheepshead Bay,Other,2014,Percent,0.01304,315
Bensonhurst,Other,2014,Percent,0.0134,311
Coney Island,Other,2014,Percent,0.01673,313
Astoria,Other,2014,Percent,0.02558,401
Jackson Heights,Other,2014,Percent,0.02021,403
Flushing,Other,2014,Percent,0.02675,407
Bayside,Other,2014,Percent,0.02675,411
Queens Village,Other,2014,Percent,0.04807,413
Fresh Meadows/Briarwood,Other,2014,Percent,0.0409,408
Elmhurst/Corona,Other,2014,Percent,0.01622,404
Rego Park/Forest Hills,Other,2014,Percent,0.02424,406
Sunnyside/Woodside,Other,2014,Percent,0.02041,402
Ridgewood/Glendale,Other,2014,Percent,0.01069,405
Woodhaven,Other,2014,Percent,0.0792,409
Jamaica/St. Albans,Other,2014,Percent,0.06267,412
Howard Beach,Other,2014,Percent,0.17666,410
The Rockaways,Other,2014,Percent,0.02283,414
Bronx,Other,2014,Percent,0.01818,36005
Brooklyn,Other,2014,Percent,0.0192,36047
Manhattan,Other,2014,Percent,0.0273,36061
Queens,Other,2014,Percent,0.04246,36081
Staten Island,Other,2014,Percent,0.01644,36085
New York City,Other,2014,Percent,0.02679,3651000
Riverdale,Other,2015,Number,2400,208
Williamsbridge,Other,2015,Number,3123,212
Throgs Neck,Other,2015,Number,2544,210
Pelham Parkway,Other,2015,Number,2641,211
Morrisania,Other,2015,Number,1164.89801,203
East Tremont,Other,2015,Number,1216.10199,206
Bedford Park,Other,2015,Number,2762,207
University Heights,Other,2015,Number,1550,205
Concourse/Highbridge,Other,2015,Number,2525,204
Unionport/Soundview,Other,2015,Number,5279,209
Mott Haven,Other,2015,Number,1013.99526,201
Hunts Point,Other,2015,Number,579.00474,202
Washington Heights,Other,2015,Number,3734,112
Manhattanville,Other,2015,Number,3978,109
Central Harlem,Other,2015,Number,3817,110
East Harlem,Other,2015,Number,2881,111
Upper East Side,Other,2015,Number,5672,108
Upper West Side,Other,2015,Number,5473,107
Chelsea/Clinton,Other,2015,Number,2901.05401,104
Midtown Business District,Other,2015,Number,1451.94599,105
Murray Hill/Stuyvesant,Other,2015,Number,3634,106
Lower East Side,Other,2015,Number,5790,103
Battery Park/Tribeca,Other,2015,Number,2160.16081,101
Greenwich Village,Other,2015,Number,3188.83919,102
Tottenville,Other,2015,Number,1472,503
South Beach,Other,2015,Number,2006,502
St. George,Other,2015,Number,4869,501
Williamsburg/Greenpoint,Other,2015,Number,3320,301
Bushwick,Other,2015,Number,2054,304
Bedford Stuyvesant,Other,2015,Number,2762,303
Fort Greene/Brooklyn Hts,Other,2015,Number,5147,302
Park Slope,Other,2015,Number,4786,306
Crown Heights North,Other,2015,Number,3921,308
Brownsville,Other,2015,Number,1516,316
East New York,Other,2015,Number,3589,305
Canarsie,Other,2015,Number,3520,318
East Flatbush,Other,2015,Number,2296,317
Crown Heights South,Other,2015,Number,2754,309
Sunset Park,Other,2015,Number,2660,307
Bay Ridge,Other,2015,Number,2238,310
Borough Park,Other,2015,Number,3038,312
Flatbush/Midwood,Other,2015,Number,3819,314
Sheepshead Bay,Other,2015,Number,2065,315
Bensonhurst,Other,2015,Number,2199,311
Coney Island,Other,2015,Number,1826,313
Astoria,Other,2015,Number,4264,401
Jackson Heights,Other,2015,Number,3229,403
Flushing,Other,2015,Number,6479,407
Bayside,Other,2015,Number,3307,411
Queens Village,Other,2015,Number,9929,413
Fresh Meadows/Briarwood,Other,2015,Number,6671,408
Elmhurst/Corona,Other,2015,Number,2503,404
Rego Park/Forest Hills,Other,2015,Number,3707,406
Sunnyside/Woodside,Other,2015,Number,2978,402
Ridgewood/Glendale,Other,2015,Number,1609,405
Woodhaven,Other,2015,Number,12092,409
Jamaica/St. Albans,Other,2015,Number,16555,412
Howard Beach,Other,2015,Number,22328,410
The Rockaways,Other,2015,Number,2424,414
Bronx,Other,2015,Number,26798,36005
Brooklyn,Other,2015,Number,53510,36047
Manhattan,Other,2015,Number,44681,36061
Queens,Other,2015,Number,98075,36081
Staten Island,Other,2015,Number,8347,36085
New York City,Other,2015,Number,231411,3651000
Riverdale,Other,2015,Percent,0.02193,208
Williamsbridge,Other,2015,Percent,0.02182,212
Throgs Neck,Other,2015,Percent,0.02051,210
Pelham Parkway,Other,2015,Percent,0.02019,211
Morrisania,Other,2015,Percent,0.01398,203
East Tremont,Other,2015,Percent,0.01398,206
Bedford Park,Other,2015,Percent,0.02148,207
University Heights,Other,2015,Percent,0.01143,205
Concourse/Highbridge,Other,2015,Percent,0.01786,204
Unionport/Soundview,Other,2015,Percent,0.02835,209
Mott Haven,Other,2015,Percent,0.01003,201
Hunts Point,Other,2015,Percent,0.01003,202
Washington Heights,Other,2015,Percent,0.01724,112
Manhattanville,Other,2015,Percent,0.03033,109
Central Harlem,Other,2015,Percent,0.02894,110
East Harlem,Other,2015,Percent,0.02368,111
Upper East Side,Other,2015,Percent,0.0257,108
Upper West Side,Other,2015,Percent,0.02815,107
Chelsea/Clinton,Other,2015,Percent,0.02914,104
Midtown Business District,Other,2015,Percent,0.02914,105
Murray Hill/Stuyvesant,Other,2015,Percent,0.02481,106
Lower East Side,Other,2015,Percent,0.03531,103
Battery Park/Tribeca,Other,2015,Percent,0.0349,101
Greenwich Village,Other,2015,Percent,0.0349,102
Tottenville,Other,2015,Percent,0.00884,503
South Beach,Other,2015,Percent,0.01503,502
St. George,Other,2015,Percent,0.02825,501
Williamsburg/Greenpoint,Other,2015,Percent,0.02162,301
Bushwick,Other,2015,Percent,0.01502,304
Bedford Stuyvesant,Other,2015,Percent,0.01974,303
Fort Greene/Brooklyn Hts,Other,2015,Percent,0.03903,302
Park Slope,Other,2015,Percent,0.04129,306
Crown Heights North,Other,2015,Percent,0.03127,308
Brownsville,Other,2015,Percent,0.01206,316
East New York,Other,2015,Percent,0.02329,305
Canarsie,Other,2015,Percent,0.01691,318
East Flatbush,Other,2015,Percent,0.01682,317
Crown Heights South,Other,2015,Percent,0.02466,309
Sunset Park,Other,2015,Percent,0.01743,307
Bay Ridge,Other,2015,Percent,0.01725,310
Borough Park,Other,2015,Percent,0.01837,312
Flatbush/Midwood,Other,2015,Percent,0.02369,314
Sheepshead Bay,Other,2015,Percent,0.01381,315
Bensonhurst,Other,2015,Percent,0.01161,311
Coney Island,Other,2015,Percent,0.01694,313
Astoria,Other,2015,Percent,0.02453,401
Jackson Heights,Other,2015,Percent,0.01758,403
Flushing,Other,2015,Percent,0.02591,407
Bayside,Other,2015,Percent,0.02732,411
Queens Village,Other,2015,Percent,0.04971,413
Fresh Meadows/Briarwood,Other,2015,Percent,0.04169,408
Elmhurst/Corona,Other,2015,Percent,0.01745,404
Rego Park/Forest Hills,Other,2015,Percent,0.03238,406
Sunnyside/Woodside,Other,2015,Percent,0.02149,402
Ridgewood/Glendale,Other,2015,Percent,0.00942,405
Woodhaven,Other,2015,Percent,0.07895,409
Jamaica/St. Albans,Other,2015,Percent,0.06993,412
Howard Beach,Other,2015,Percent,0.16343,410
The Rockaways,Other,2015,Percent,0.02038,414
Bronx,Other,2015,Percent,0.01876,36005
Brooklyn,Other,2015,Percent,0.02062,36047
Manhattan,Other,2015,Percent,0.02742,36061
Queens,Other,2015,Percent,0.04262,36081
Staten Island,Other,2015,Percent,0.01767,36085
New York City,Other,2015,Percent,0.02746,3651000
Riverdale,Other,2016,Number,2386,208
Williamsbridge,Other,2016,Number,3241,212
Throgs Neck,Other,2016,Number,2646,210
Pelham Parkway,Other,2016,Number,2765,211
Morrisania,Other,2016,Number,948.65067,203
East Tremont,Other,2016,Number,990.34933,206
Bedford Park,Other,2016,Number,2796,207
University Heights,Other,2016,Number,1496,205
Concourse/Highbridge,Other,2016,Number,2425,204
Unionport/Soundview,Other,2016,Number,5576,209
Mott Haven,Other,2016,Number,1182.67621,201
Hunts Point,Other,2016,Number,675.32379,202
Washington Heights,Other,2016,Number,3296,112
Manhattanville,Other,2016,Number,4753,109
Central Harlem,Other,2016,Number,4089,110
East Harlem,Other,2016,Number,2729,111
Upper East Side,Other,2016,Number,6110,108
Upper West Side,Other,2016,Number,5122,107
Chelsea/Clinton,Other,2016,Number,2871.06379,104
Midtown Business District,Other,2016,Number,1436.93621,105
Murray Hill/Stuyvesant,Other,2016,Number,4153,106
Lower East Side,Other,2016,Number,4833,103
Battery Park/Tribeca,Other,2016,Number,2064.44982,101
Greenwich Village,Other,2016,Number,3047.55018,102
Tottenville,Other,2016,Number,1953,503
South Beach,Other,2016,Number,2268,502
St. George,Other,2016,Number,5300,501
Williamsburg/Greenpoint,Other,2016,Number,3341,301
Bushwick,Other,2016,Number,2123,304
Bedford Stuyvesant,Other,2016,Number,2820,303
Fort Greene/Brooklyn Hts,Other,2016,Number,5661,302
Park Slope,Other,2016,Number,5445,306
Crown Heights North,Other,2016,Number,4413,308
Brownsville,Other,2016,Number,1400,316
East New York,Other,2016,Number,3659,305
Canarsie,Other,2016,Number,3464,318
East Flatbush,Other,2016,Number,2282,317
Crown Heights South,Other,2016,Number,2607,309
Sunset Park,Other,2016,Number,2355,307
Bay Ridge,Other,2016,Number,2226,310
Borough Park,Other,2016,Number,3349,312
Flatbush/Midwood,Other,2016,Number,4355,314
Sheepshead Bay,Other,2016,Number,2790,315
Bensonhurst,Other,2016,Number,2688,311
Coney Island,Other,2016,Number,2706,313
Astoria,Other,2016,Number,4698,401
Jackson Heights,Other,2016,Number,2650,403
Flushing,Other,2016,Number,6388,407
Bayside,Other,2016,Number,2874,411
Queens Village,Other,2016,Number,10940,413
Fresh Meadows/Briarwood,Other,2016,Number,7140,408
Elmhurst/Corona,Other,2016,Number,2699,404
Rego Park/Forest Hills,Other,2016,Number,3424,406
Sunnyside/Woodside,Other,2016,Number,3102,402
Ridgewood/Glendale,Other,2016,Number,2173,405
Woodhaven,Other,2016,Number,12611,409
Jamaica/St. Albans,Other,2016,Number,18378,412
Howard Beach,Other,2016,Number,22585,410
The Rockaways,Other,2016,Number,2673,414
Bronx,Other,2016,Number,27128,36005
Brooklyn,Other,2016,Number,57684,36047
Manhattan,Other,2016,Number,44505,36061
Queens,Other,2016,Number,102326,36081
Staten Island,Other,2016,Number,9521,36085
New York City,Other,2016,Number,241164,3651000
Riverdale,Other,2016,Percent,0.02173,208
Williamsbridge,Other,2016,Percent,0.02245,212
Throgs Neck,Other,2016,Percent,0.02161,210
Pelham Parkway,Other,2016,Percent,0.02135,211
Morrisania,Other,2016,Percent,0.01128,203
East Tremont,Other,2016,Percent,0.01128,206
Bedford Park,Other,2016,Percent,0.02152,207
University Heights,Other,2016,Percent,0.01092,205
Concourse/Highbridge,Other,2016,Percent,0.01719,204
Unionport/Soundview,Other,2016,Percent,0.02942,209
Mott Haven,Other,2016,Percent,0.01152,201
Hunts Point,Other,2016,Percent,0.01152,202
Washington Heights,Other,2016,Percent,0.01507,112
Manhattanville,Other,2016,Percent,0.0366,109
Central Harlem,Other,2016,Percent,0.03007,110
East Harlem,Other,2016,Percent,0.02227,111
Upper East Side,Other,2016,Percent,0.02753,108
Upper West Side,Other,2016,Percent,0.02644,107
Chelsea/Clinton,Other,2016,Percent,0.02885,104
Midtown Business District,Other,2016,Percent,0.02885,105
Murray Hill/Stuyvesant,Other,2016,Percent,0.0283,106
Lower East Side,Other,2016,Percent,0.03007,103
Battery Park/Tribeca,Other,2016,Percent,0.03288,101
Greenwich Village,Other,2016,Percent,0.03288,102
Tottenville,Other,2016,Percent,0.01179,503
South Beach,Other,2016,Percent,0.01676,502
St. George,Other,2016,Percent,0.03075,501
Williamsburg/Greenpoint,Other,2016,Percent,0.02122,301
Bushwick,Other,2016,Percent,0.01563,304
Bedford Stuyvesant,Other,2016,Percent,0.01976,303
Fort Greene/Brooklyn Hts,Other,2016,Percent,0.04172,302
Park Slope,Other,2016,Percent,0.0468,306
Crown Heights North,Other,2016,Percent,0.03458,308
Brownsville,Other,2016,Percent,0.01133,316
East New York,Other,2016,Percent,0.0235,305
Canarsie,Other,2016,Percent,0.01658,318
East Flatbush,Other,2016,Percent,0.01646,317
Crown Heights South,Other,2016,Percent,0.02342,309
Sunset Park,Other,2016,Percent,0.01557,307
Bay Ridge,Other,2016,Percent,0.01781,310
Borough Park,Other,2016,Percent,0.02032,312
Flatbush/Midwood,Other,2016,Percent,0.02688,314
Sheepshead Bay,Other,2016,Percent,0.01849,315
Bensonhurst,Other,2016,Percent,0.01422,311
Coney Island,Other,2016,Percent,0.02463,313
Astoria,Other,2016,Percent,0.02724,401
Jackson Heights,Other,2016,Percent,0.01468,403
Flushing,Other,2016,Percent,0.02554,407
Bayside,Other,2016,Percent,0.02397,411
Queens Village,Other,2016,Percent,0.05447,413
Fresh Meadows/Briarwood,Other,2016,Percent,0.04393,408
Elmhurst/Corona,Other,2016,Percent,0.01897,404
Rego Park/Forest Hills,Other,2016,Percent,0.02987,406
Sunnyside/Woodside,Other,2016,Percent,0.0223,402
Ridgewood/Glendale,Other,2016,Percent,0.01247,405
Woodhaven,Other,2016,Percent,0.08137,409
Jamaica/St. Albans,Other,2016,Percent,0.07667,412
Howard Beach,Other,2016,Percent,0.16477,410
The Rockaways,Other,2016,Percent,0.022,414
Bronx,Other,2016,Percent,0.01888,36005
Brooklyn,Other,2016,Percent,0.02213,36047
Manhattan,Other,2016,Percent,0.02722,36061
Queens,Other,2016,Percent,0.0443,36081
Staten Island,Other,2016,Percent,0.02012,36085
New York City,Other,2016,Percent,0.0285,3651000
Riverdale,White,2009,Number,43537,208
Riverdale,White,2009,Percent,0.38736,208
Williamsbridge,White,2009,Percent,0.07986,212
Throgs Neck,White,2009,Number,50996,210
Throgs Neck,White,2009,Percent,0.43688,210
Pelham Parkway,White,2009,Percent,0.29969,211
Morrisania,White,2009,Number,3461.91445,203
Morrisania,White,2009,Percent,0.04764,203
East Tremont,White,2009,Percent,0.04764,206
Bedford Park,White,2009,Number,10806,207
Bedford Park,White,2009,Percent,0.08565,207
University Heights,White,2009,Percent,0.01429,205
Concourse/Highbridge,White,2009,Number,1845,204
Concourse/Highbridge,White,2009,Percent,0.01383,204
Unionport/Soundview,White,2009,Percent,0.03714,209
Mott Haven,White,2009,Number,1937.603,201
Mott Haven,White,2009,Percent,0.02007,201
Hunts Point,White,2009,Percent,0.02007,202
Washington Heights,White,2009,Number,35561,112
Washington Heights,White,2009,Percent,0.16753,112
Manhattanville,White,2009,Percent,0.26809,109
Central Harlem,White,2009,Number,10892,110
Central Harlem,White,2009,Percent,0.09085,110
East Harlem,White,2009,Percent,0.12261,111
Upper East Side,White,2009,Number,187024,108
Upper East Side,White,2009,Percent,0.82334,108
Upper West Side,White,2009,Percent,0.72784,107
Chelsea/Clinton,White,2009,Number,63180.73103,104
Chelsea/Clinton,White,2009,Percent,0.65957,104
Midtown Business District,White,2009,Percent,0.65957,105
Murray Hill/Stuyvesant,White,2009,Number,115173,106
Murray Hill/Stuyvesant,White,2009,Percent,0.76648,106
Lower East Side,White,2009,Percent,0.33087,103
Battery Park/Tribeca,White,2009,Number,43348.60008,101
Battery Park/Tribeca,White,2009,Percent,0.74878,101
Greenwich Village,White,2009,Percent,0.74878,102
Tottenville,White,2009,Number,144270,503
Tottenville,White,2009,Percent,0.85916,503
South Beach,White,2009,Percent,0.73963,502
St. George,White,2009,Number,76210,501
St. George,White,2009,Percent,0.43504,501
Williamsburg/Greenpoint,White,2009,Percent,0.6345,301
Bushwick,White,2009,Number,8751,304
Bushwick,White,2009,Percent,0.06804,304
Bedford Stuyvesant,White,2009,Percent,0.11963,303
Fort Greene/Brooklyn Hts,White,2009,Number,48155,302
Fort Greene/Brooklyn Hts,White,2009,Percent,0.41477,302
Park Slope,White,2009,Percent,0.63978,306
Crown Heights North,White,2009,Number,18144,308
Crown Heights North,White,2009,Percent,0.14336,308
Brownsville,White,2009,Percent,0.01208,316
East New York,White,2009,Number,7560,305
East New York,White,2009,Percent,0.04826,305
Canarsie,White,2009,Percent,0.2938,318
East Flatbush,White,2009,Number,2444,317
East Flatbush,White,2009,Percent,0.01676,317
Crown Heights South,White,2009,Percent,0.14147,309
Sunset Park,White,2009,Number,37533,307
Sunset Park,White,2009,Percent,0.24813,307
Bay Ridge,White,2009,Percent,0.65943,310
Borough Park,White,2009,Number,120547,312
Borough Park,White,2009,Percent,0.73679,312
Flatbush/Midwood,White,2009,Percent,0.41825,314
Sheepshead Bay,White,2009,Number,110568,315
Sheepshead Bay,White,2009,Percent,0.74197,315
Bensonhurst,White,2009,Percent,0.5529,311
Coney Island,White,2009,Number,66359,313
Coney Island,White,2009,Percent,0.60841,313
Astoria,White,2009,Percent,0.49736,401
Jackson Heights,White,2009,Number,23215,403
Jackson Heights,White,2009,Percent,0.12695,403
Flushing,White,2009,Percent,0.36329,407
Bayside,White,2009,Number,63664,411
Bayside,White,2009,Percent,0.52789,411
Queens Village,White,2009,Percent,0.15151,413
Fresh Meadows/Briarwood,White,2009,Number,56529,408
Fresh Meadows/Briarwood,White,2009,Percent,0.36991,408
Elmhurst/Corona,White,2009,Percent,0.09259,404
Rego Park/Forest Hills,White,2009,Number,68961,406
Rego Park/Forest Hills,White,2009,Percent,0.59335,406
Sunnyside/Woodside,White,2009,Percent,0.29752,402
Ridgewood/Glendale,White,2009,Number,106541,405
Ridgewood/Glendale,White,2009,Percent,0.60124,405
Woodhaven,White,2009,Percent,0.24421,409
Jamaica/St. Albans,White,2009,Number,4310,412
Jamaica/St. Albans,White,2009,Percent,0.0194,412
Howard Beach,White,2009,Percent,0.28887,410
The Rockaways,White,2009,Number,44237,414
The Rockaways,White,2009,Percent,0.38556,414
Bronx,White,2009,Percent,0.12754,36005
Brooklyn,White,2009,Number,929264,36047
Brooklyn,White,2009,Percent,0.36612,36047
Manhattan,White,2009,Percent,0.49818,36061
Queens,White,2009,Number,707971,36081
Queens,White,2009,Percent,0.31067,36081
Staten Island,White,2009,Percent,0.67074,36085
New York City,White,2009,Number,2945058,3651000
New York City,White,2009,Percent,0.35471,3651000
Williamsbridge,White,2009,Number,11795,212
Pelham Parkway,White,2009,Number,38461,211
East Tremont,White,2009,Number,3614.08555,206
University Heights,White,2009,Number,1946,205
Unionport/Soundview,White,2009,Number,6701,209
Hunts Point,White,2009,Number,1106.397,202
Manhattanville,White,2009,Number,33279,109
East Harlem,White,2009,Number,14965,111
Upper West Side,White,2009,Number,152902,107
Midtown Business District,White,2009,Number,31621.26897,105
Lower East Side,White,2009,Number,55600,103
Greenwich Village,White,2009,Number,63991.39992,102
South Beach,White,2009,Number,103598,502
Williamsburg/Greenpoint,White,2009,Number,92158,301
